,post_id,comments_text
0,12103.0,"Зачем эта игра в ""демократию"" ?! Результат уже итак известен ! Лучши бы эти деньги (выделенные на ""выборы"") отдали бы пенсионерам ! Или на поддержание СВО !"
1,12103.0,За Бориса Борисовича Надеждина!!!
2,12103.0,"Я бы вообще , голосовал за Ярослава Нилова !"
3,12103.0,"Интересно, если бы хоть раз выборы прошли честно, расклад был бы другим ещё пару десятилетий назад."
4,12103.0,Выборы - без выбора. Вообще не за кого!!!
5,12103.0,"Это не выборы, просто отмазки. Итог уже ясен. Где настоящие кандидаты?"
6,12103.0,За Бабурина Сергея Николаевича.
7,12103.0,"Не пойду на выборы, итог уже понятен."
8,12103.0,Идти надо. Чтобы военного переворота не было на иностранный капитал.
9,12103.0,Голосуем против Путина. За Надеждина. https://youtu.be/swbTarABahM?si=7I5vqwi8p-suuTTX
10,12103.0,"Никогда не голосовала, а нынче буду, подскажите с чего начать? Или просто на избирательный участок с паспортом?"
11,12103.0,Нет не кто кроме !Владимира Владимирович Путина !! Только он кандидат
12,12103.0,"Хоть за чëpта лысого, главное не за путина"
13,12103.0,Только Владимир Владимирович Путин! Наш кандидат! Наше будущее.
14,12103.0,"Против Путина. За Надеждина. Если ЦИК его недопустит, то за любого другого кандидата, кроме Путина, кто идет на втором месте, возможно Харитонов. Пусть он повторяет Путина, но он не Путин, это его главное преимущество. Выходите на выходных к вечному огню на Красной площади. Поддержите жен мобилизованных. Путин должен вернуть их домой к семьям немедленно. Пусть сам воюет, раз ему так хочется. https://youtu.be/fjHkcbhHfnk?si=ICBC864AH7Oouvdn"
15,12103.0,"Приду голосовать ,не когда не голосовал ,почему скажу так все нас сейчас сделали зависимым государство обложили налога как им угодно ,а сами кайфуют ,у нас кто самый богатый в России это 10 человек каждую неделю деньги делят не знают куда подевать.Хочу сказать что сказал а самое главное .Почему нам начисляют зарплату налог на капитальный ремонт дома эти деньги просто списываю с вас а нечего не делается как был Ремон 5 лет так и остался ,вопрос ЖКХ сделайте вот это отремонтируйте ,только отмашка денег нет а где они,Надо отменит этот налог как жили раньше так и будем жить .2 е почему ЖКХ поднесите тарифы уже задрал цены куда можно .А эти деньги откуда взят их еще надо заработать ,эта система не для народа а для олигархов .3 е Отопление у нас У Башрст совсем катушки в голове съехали начисляют как им угодно где контроль над ними .А сейчас еще подремать тарифы собираться 1 июня 2024 г.Совсем неух потеряли .У нас когда нибудь цены падали ,все говорят мы живем в Россий .Вот думайте за кого голосовать А еще забыл у нас есть Налоговая самые крахоборы."
16,12103.0,"Это все кандидаты?? 😬 Неужели нет ни одной женщины или более адекватного претендента из мужчин?? Выбирать не из гоко, получается 🙄🙄"
17,12103.0,"Даже в вашей пропутинской группе и 50% не набирается за Путина. Фотографии 20-летней давности не помогают. Пора назвать вещи своими именами. Вова 3%. Готовьтесь к росту цен на все и обрушению рубля после выборов, если этот кандидат опять нарисует себе всенародную любовь 80%. https://youtu.be/IcEJbUXjYtE?si=gYXtIpcrXwglFX3r"
18,12103.0,За Слуцкого
19,12103.0,За Даванкова!!!
20,12103.0,"Я бы за Ирину проголосовала, фамилию не помню, якобы не набрала подписи, но не думаю...А так мне никто не внушает доверия, какой-то выброс один"
21,12103.0,Добрый день. Кто хочет пойти на СВО по контракту. Пишите. Обеспечим перелет. Проживаете. Дополнительные выплаты от Сургутского района.   Полное сопровождение. Телефон +79581546175
22,12103.0,"Тут надо задуматься, если кандидат открыто на всю страну, уже дважды в эфире поддерживает на пост президента США Байдена, который в свою очередь спонсирует Киевский режим где гибнут наши граждане, то вопрос? Может ли вообще данный кандидат избираться!!!"
23,12103.0,"Основными аргументами в пользу переизбрания Владимира Путина на президентских выборах 2024 года в России являются его заявление о том, что он будет баллотироваться на пятый срок, его непрерывное удержание у власти в течение более двух десятилетий, его доминирование в политической системе России, а также конституционные реформы, позволяющие ему потенциально оставаться у власти до 2036 года."
24,12103.0,"✅➕#как правило!?

✅➕#власть
✅➕#россия
✅➕#аргумент
✅➕#баллотироваться
✅➕#владимир
✅➕#выборы
✅➕#десятилетие
✅➕#доминирование
✅➕#заявление
✅➕#конституционный
✅➕#много
✅➕#непрерывный
✅➕#основной
✅➕#оставаться
✅➕#переизбрание
✅➕#позволять
✅➕#политический
✅➕#польза
✅➕#потенциальный
✅➕#президентский
✅➕#путин
✅➕#пятый
✅➕#реформа
✅➕#система
✅➕#срок
✅➕#также
✅➕#течение
✅➕#тома
✅➕#удержание
✅➕#являться"
25,12103.0,"Доминирование в российской политической системе

Владимир Путин на выборах президента России 2024 года

Владимир Путин баллотируется на пятый срок на президентских выборах в России в марте 2024 года, что отражает его доминирование в российской политической системе. Несмотря на то, что он был независимым кандидатом, его выдвижение поддержали различные политические партии. Ожидается, что Путин победит на выборах из-за отсутствия значительной оппозиции, что потенциально позволит ему оставаться у власти как минимум до 2030 года, поскольку в настоящее время нет никого, кто мог бы эффективно бросить ему вызов."
26,12103.0,"Президенты в основном занимаются переизбранием конституционных реформ

Основная забота президентов в отношении конституционных реформ заключается в том, чтобы реформы не только защищали российскую демократию от авторитаризма, но и обеспечивали эффективное решение проблем и забот своих граждан. Это относится к их переизбранию, поскольку им необходимо подумать о том, как реформы могут повлиять на их способность эффективно управлять и сохранять поддержку со стороны избирателей."
27,12103.0,"✅➕#как правило!?

✅➕#реформа
✅➕#политический
✅➕#президент
✅➕#российский
✅➕#эффективный
✅➕#владимир
✅➕#выборы
✅➕#доминирование
✅➕#доминировании российской
✅➕#доминировании российской политической
✅➕#доминировании российской политической системе
✅➕#забота
✅➕#заключается том реформы
✅➕#конституционный
✅➕#конституционных реформ
✅➕#основной
✅➕#переизбрание
✅➕#политической системе
✅➕#поскольку
✅➕#путина
✅➕#российской политической
✅➕#российской политической системе
✅➕#россия
✅➕#система
✅➕#том реформы
✅➕#тома"
28,12103.0,"Защитил российскую демократию от авторитаризма

Указанный человек или группа защитили российскую демократию от авторитаризма. Вместо этого они сделали выбор, который сначала привел к демократии, а затем к автократии, что в конечном итоге привело к правильной рыночной профессиональной демократии управленческой деятельности в России."
29,12103.0,"✅➕#как правило!?

✅➕#демократия
✅➕#авторитаризм
✅➕#демократию авторитаризма
✅➕#защитили российскую
✅➕#защитили российскую демократию
✅➕#защитили российскую демократию авторитаризма
✅➕#защитить
✅➕#привести
✅➕#российский
✅➕#российскую демократию
✅➕#российскую демократию авторитаризма"
30,12103.0,-------------------------------------------------------------------
