,post_id,comments_text
0,2192593.0,Единственный способ-уничтожить бандеровскую хунту
1,2192593.0,
2,2192574.0,"Странно, и что, ни разу не сказал""отличные переговоры"", ""великопное"" там что то и все в таком роде🙄🤣"
3,2192574.0,Конечно.если ты террористам продолжаешь поставлять ракеты
4,2192574.0,"Трамп с наскока все хотел решить.( хотя, вряд ли хотел) так действуют только не оч. глубокие и импульсивные люди. Они не ищут корень проблемы и пытаются действовать давлением. Что Америка всегда и делала при любом президенте."
5,2192555.0,"Ужас .. Они там все торчат на кокаине. Не мудрено, что эти торчки убивают окраину. Им и третью мировую развязать плевое дело."
6,2192555.0,
7,2192555.0,"Три сестрицы за столом 
БаловАлись порошком😜"
8,2192555.0,Торчки!!!!!!!!!👊🤠🥶🤮💩👺👎👎👎👎
9,2192555.0,"Три поросёнка 
Нюх- Нюх, Нах- Нах и Них - Них"
10,2192555.0,"Я так и знал что он там все наркоманы !!
Торчки !!!"
11,2192555.0,"и сидят бл смотрят как нашкодившие ""примерные"" мальчики. Вот уроды то."
12,2192555.0,Вонючие торчки. Правильно Путин их игнорит
13,2192555.0,"Теперь понятно почему у них постоянно безумные лица!!! Европейцы, за кого вы голосуете?"
14,2192555.0,Ложечку? А где шприц и причём здесь кокс?
15,2192555.0,Демократия по Европейски - хочу и торчу 🤣🤣🤣
16,2192555.0,"Ну чё до пацанов докопались , подарок они корешу везут, подарок!"
17,2192555.0,По тропинке и в шоколадницу с песней🤣🤣🤣
18,2192537.0,СУЧЕНЫШЬ !!!!!...👽👽👽
19,2192537.0,"Ты смотри какой козлодой!! Нет ,сначала переговоры, потом прекращение огня."
20,2192537.0,
21,2192537.0,"Жертва аборта, что -то промямлила. Пора -пора чем -то серьезным по этому рассаднику и может быть и чуть дальше!"
22,2192537.0,
23,2192537.0,"Ну , и отлично, значит продолжаем уничтожать фашистов и их режим
Без этого никак нельзя, пока есть наркоша и ко, спокойно вздохнуть у нас не получится"
24,2192537.0,С террористами ни каких переговоров!
25,2192537.0,"Проходили уже в 2022. Знаем мы ваше надёжное прекращение огня и последующие переговоры, выполнение договорённостей."
26,2192537.0,"Заряжай вальтер , скоро понадобится , гнида..."
27,2192537.0,Зря он так.😄
28,2192537.0,Путину осталось Зеленскому ещё сапоги помыть! Армию нашу он уже опустил своими перемириями и переговорами. Страну унизил своей просьбой о переговорах! Осиалрсь сапоги лизать.
29,2192537.0,Тьфу...иуда😡😡😡
30,2192537.0,Никто не может ставить ультиматум.
31,2192537.0,
32,2192537.0,
33,2192537.0,"Зеля настолько тупой, что не понимает, что прекращение огня - это последний шаг!"
34,2192537.0,какие нафиг переговоры ? укр капитуляция тут только
35,2192537.0,Дэбил пустоголовый!
36,2192537.0,"Ну, ты посмотри!! Наглючий , тварь!   С каких щей, этот щенок, ставит ультиматумы со всей европейской сворой? И Трамп туда же! Вот сволочи! Как же они пытаются изо всех сил и наглости навязать поражение России и себя поставить в победителях!!! Не дай,Бог, наши опять пойдут на поводу у этмх мразей! Нельзя верить ни америкосам, ни этому нацискому  западу, тем более, хохлам !!!!"
37,2192537.0,Який тупичько
38,2192537.0,"Удавка затягивается ?  Он походу не понимает что происходит, а эти заднеприводные кукловоды в одной с ним петле"
39,2192537.0,А сам то может подтвердить? Хитрый скользкий еврей.
40,2192537.0,"Интересно, а на что надеется Путин при этих переговорах?  А как же демилиритализация, денасификация? Фигня какая то. Хохлам и Западу, а также американцам  верить нельзя!!!!"
41,2192527.0,
42,2192527.0,"в плену ,хоть до посинения"
43,2192527.0,Они требуют. И те кто с ружьями пусть попробуют не согласиться.😄
44,2192527.0,капитулируйте и перемирие будет вечным
45,2192508.0,"Как шпроту не назови, она шпротой и останется"
46,2192508.0,Ээсты стали вершителями европейской политики.
47,2192508.0,👏👏👏👏👏❤❤❤🙏🙏🙏
48,2192508.0,"А чего удивляться то? Внучка прихвостня фашистов, обиженка на советскую власть, за то, что бабушку сослали в своё время , после войны , в ссылку из за пособничества деда фашистам, о чём она , эта вобла сухая умалчивает, брызжет злобой и ненавистью. Нияего удивительного!"
49,2192482.0,Интересно... А как его родные и близкие к этому отнеслись? Они рады или хотели бы видеть его живым?
50,2192482.0,
51,2192482.0,🙏🙏🙏❤❤❤🥀🥀🥀🥀🥀🥀🥀
52,2192482.0,Царствие небесное 🙏
53,2192482.0,
54,2192482.0,❤❤❤❤❤🥲🥲🥲🥲🥲🙏🙏🙏🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹
55,2192482.0,🌹🌹🌹🌹
56,2192482.0,
57,2192482.0,"Светлая память , тебе герой!!"
58,2192482.0,😭🙏🙏🙏
59,2192482.0,
60,2192458.0,
61,2192458.0,"Он такой же торчок, как зеля. Спалился бобик с пакетом кокаина унюханный. Это ко всем его недостаткам извращенца."
62,2192458.0,"Лягушатник, пииииииз..... и, что хочешь, твое мнение никого не интересует"
63,2192458.0,"Путин на них как на говно смотрит, теперь понятно почему. Торчки потому что"
64,2192458.0,"Очередной наполеон, наверное в школе скурил учебник истории..."
65,2192458.0,Обнаглевший жабоед.
66,2192458.0,
67,2192458.0,Ещё одна обнюханая собака
68,2192458.0,"Смысле без условий? Оставить Одесскую, Николаевскую, Харьковскую и дт.области хохлам?"
69,2192458.0,ему какое дело...
70,2192458.0,"Надо использовать передовой опыт:
В Берлине переговоры успешно предшествовали капитуляции."
71,2192458.0,Нарколыга
72,2192458.0,
73,2192458.0,"Господи ,уйми уже этих идиотов🤦🤦торчок спящий с мужиком в платье, а туда же...."
74,2192458.0,"Не петушиного ума это дело,как поступать самому Путину.
Решил бы со своим отцом что-нибудь.С которым живёт как с женщиной.
Извращенец!"
75,2192458.0,"Макрон совершенно закомплексованный человек. Он не хочет признавать, что Путин умнее его."
76,2192458.0,По-моему Путин к Макрону не обращался. В каждой бочке затычка!😡
77,2192458.0,"это факт, что окончание специальной операции близко! Вот только интересно, что Трамп с Путиным не обратили внимание на позицию Зеленского"
78,2192458.0,"Вот он куда лезит, тварь у себя порядок наводи"
79,2192458.0,"Приятно осознавать, что не только Россия пришла к пониманию необходимости мирного решения конфликта - многие зарубежные лидеры об этом задумываются, говорят, а это уже что-то"
80,2192458.0,"Недоношенный рахит, завали свой сосальник и иди теребунькай курагу у своего пристарелого Панина, обсаженый бабкаëб!"
81,2192458.0,Отходняк от кокса у него
82,2192441.0,"Отец русский, а он считает себя украинцем? 😁"
83,2192441.0,"""Тараса Бульбу"" не читал"
84,2192441.0,
85,2192418.0,Бывшие всегда за правду. Терять уже нечего. 😂
86,2192418.0,"Коалиция желающих.ЧТО? Это вам,Не Югославию бомбить,Ирак,Ливию,Сирию. Тухлым пахнет."
87,2192418.0,Для кого мультики?!
88,2192418.0,Правильно
89,2192418.0,👏👏👏👏👏
90,2192418.0,"С человеческой позиции если посмотреть на все это, то сша, лондон, натовская банда позволяют себе вводить против людей санкции, то есть наказывать людей, ни провинившихся ни в чем, без всяких оснований, обьяснений, бессовестно и беспрепятственно.
Вот вам вся суть, принципы и в целом, мировозрение западного бандитского и жульнического общества...
Представьте себе на месте негодяев запада, русских, китайцев, сербов, венгров, народы африки, БВ, кореи. Разве такое себе бы позволили эти люди, народы. Нет, никогда!
Вашингтон, лондон всю свою историю развязывали войны, беспорядки в мире, грабили и порабощали...
Поэтому они и сегодня этим занимаются - шакалы и стервятники.
А наше дело правое и Бог с нами!!!!🤞🇷🇺"
91,2192418.0,Слава нашему Господу Иисусу Христу 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻❤❤❤❤❤❤🇷🇺🇷🇺🇷🇺🇷🇺
92,2192400.0,"Спасибо тебе, Человек!
Светлая память!"
93,2192400.0,
94,2192400.0,Светлая память!
95,2192400.0,❤❤❤❤❤🥲🥲🥲🥲🥲🙏🙏🙏
96,2192400.0,🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🌹🌹🌹🌹
97,2192400.0,"Очень похож на персонаж из советского фильма ""Отец солдата"". Как жаль 😥, какая утрата 😢 Светлая память, Александр или дядя Саша ... 🙏"
98,2192400.0,
99,2192400.0,Как он похож... Низкий поклон  до земли! Вечная память Солдату!
100,2192400.0,"Светлая память, царствие небесное 🙏🏻💔"
101,2192400.0,🙏🙏🙏
102,2192400.0,Спасибо за мужество ! Светлая память !
103,2192400.0,Вечная память ему !!!!
104,2192400.0,🙏🙏🙏
105,2192400.0,Праведники умирают на Пасху и - в День Победы. Вечная Память.
106,2192400.0,
107,2192400.0,Вечная память!!!
108,2192400.0,
109,2192400.0,Вечная память!!!
110,2192400.0,🇷🇺🇷🇺🇷🇺💓💓💓🙏🙏
111,2192400.0,
112,2192387.0,
113,2192387.0,"Ха-ха:как только наркоша подписал договор о редкоземах, рыжий клоун расчехлился🤣🤣🤣"
114,2192387.0,"Трампуша ""миротворец""))"
115,2192387.0,"Нужно побеждать. Нельзя вести переговоры с шуллерами. Победим,никуда не денутся."
116,2192387.0,Не свое же отдают) этих ракет  не надолго
117,2192387.0,"И эти фашистские выродки чё-то ещё трындят об очередном перемирии. А сами продолжают накачивать укрорейх вооружениями и снарядами, сволочи поганые."
118,2192387.0,"Надеюсь поставку разметают наши ракеты,?"
119,2192387.0,И они ещё говорят о мире!
120,2192387.0,К перемирию готовятся?..
121,2192387.0,"Уважают в мире только силу .Все остальное считают за слабость .Поэтому надо побеждать и надо прекращать джентельменничать .Все равно хорошим для ""партнеров"" стать не выйдет ..Хватит уже расшаркиваться перед свинотой .Раз начал уже бить - так бей !"
122,2192387.0,Оказывается нужно согласие на передачу такого вооружения страной изготовителем третьим странам. Ещё один пункт в вопросе: а наше вооружение на каком основании передавалось Украине? Ведь правопреемник СССР Россия.
123,2192387.0,"Странная ситуация. ""Посредник""!!! Не посредник , а прямой соучастник! И зачем тогда идти на поводу у врагов  ""многохожовочка"" елки! Доиграются!"
124,2192378.0,👍👍👍👍👍👍👍👍👍👍❤❤❤❤❤🙏🙏🙏
125,2192378.0,🇷🇺🇷🇺🇷🇺💓💓💓🙏🙏🙏
126,2192378.0,Жгите нацистов 🖕
127,2192378.0,Гады!
128,2192378.0,"СВО проводится для обеспечения безопасности России и мы готовы к любым поворотам событий, которые будут нам угрожать."
129,2192378.0,
130,2192367.0,Ожидание всегда хуже свершившегося. Ждите. Вас предупредили.
131,2192367.0,"Дай то Бог чтобы так оно и было, но в последнее время от всех ожиданий народ испытывает одни разочарования."
132,2192367.0,Повод всегда найдётся.
133,2192367.0,"600 беспилотников перед парадом ко дню победы,это ли не повод"
134,2192367.0,Сыкотно ? Ждите
135,2192367.0,
136,2192367.0,"В смысле, нет поводов? А сотни беспилотников на день победы по России!?"
137,2192367.0,"Ждём удар, хоть по хранилищу газа, хоть по тоннелю из Польши 

По ходу американцы сами уговаривают Путина ударить по газохранилищу 😅"
138,2192367.0,Ну ожидание праздника всегда интереснее самого праздника ! Пусть ждут ..
139,2192367.0,Опять одни фантазии))
140,2192367.0,Аминь
141,2192349.0,"Наши мальчики ,родные ,любимые -вы у нас самые лучшие ! Берегите себя сыночки"
142,2192349.0,"Ну кто то на праде марширует, а кого то уже не найдут никогда. Может если потом , после боевых действий, жетон откопают, то по нему бойца определят."
143,2192349.0,Гордимся нашими воинами!!!
144,2192349.0,"🙏❤Спаси, Господи!"
145,2192349.0,Опора нации 🫡
146,2192349.0,👏👏👏👏👏👏👏👏👏👏❤❤❤❤❤❤❤❤❤❤🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🙏🙏🙏🙏🙏
147,2192349.0,
