,post_id,date,post_text
0,2192617,2025-05-11,"СМИ взбудоражены предложением Путина провести переговоры в Стамбуле

Ведущие мировые СМИ взбудоражены знаменательным предложением президента России Владимира Путина Киеву провести переговоры 15 мая в Стамбуле. 

В ночь на воскресенье Путин провел обращение к российским и зарубежным журналистам. В частности, он предложил Киеву возобновить прямые переговоры без предварительных условий в Стамбуле 15 мая. Глава государства подчеркнул, что не исключает достижения реального прекращения огня, которое будет соблюдаться Украиной.

Намек на мирное разрешение 

Испанский телеканал RTVE, освещая речь Путина, пишет, что он предложил Украине провести прямые переговоры в Стамбуле 15 мая, чтобы найти мирное решение конфликта, который начался более трех лет назад. Телеканал отмечает, что президент напомнил, что именно в Стамбуле украинская сторона приостановила переговоры с представителями России в марте 2022 года. 

По мнению издания Washington Examiner, речь президента содержала ""намек на прекращение огня"". 

Британский телеканал GB News назвал выступление Путина знаменательным и отметил, что в нем российский лидер подготовил почву для возможных переговоров с Украиной. 

Как отмечает американский телеканал NBC, Путин во время выступления использовал формулировки, которые демонстрируют его желание вести серьезные переговоры с долгосрочными последствиями, в том числе продолжительным миром. 

Британская газета Financial Times написала, что переговоры могут стать первым прямым контактом на высоком уровне между Россией и Украиной после того, как попытки добиться прекращения конфликта в его первые месяцы, также проводившиеся в Турции, провалились весной 2022 года"". 

""Путин открыл дверь к переговорам"", — заключила британская Sun.

Реакция на ультиматум Запада 

Польское издание Rzeczpospolita подсчитало, что речь Путина прозвучала примерно через десять часов после того, как в Киеве объявили призыв к 30-дневному прекращению огня. При этом мировые СМИ разделились во мнениях относительно того, было ли выступление президента прямой реакцией Москвы на это заявление. Guardian называет речь Путина ответом России на ультиматум европейских лидеров. 

""Путин таким образом (предложив возобновить переговоры. — Прим. ред.) отреагировал на окончание 72-часового прекращения огня, объявленного Россией по случаю 80-й годовщины (Дня Победы. — Прим. ред.), и ответил на требование лидеров Франции, Великобритании, Германии и Польши о 30-дневном перемирии"", — пишет испанская Vanguardia, подчеркивая, что ""Путин открыто не принял такое перемирие"". 
 
Kuwait Times же считает, что Путин в своих словах о переговорах не обращался напрямую к призыву лидеров Украины, Великобритании, Франции, Германии и Польши к прекращению огня с понедельника. Испанская газета Mundo аналогично пишет, что Путин не ответил напрямую на европейское предложение. Такую же мысль можно найти в материалах газеты Pais, которая обратила внимание, что президент все же обвинил Украину в систематическом нарушении ранее объявленных перемирий.

Время обращения 

Испанское издание Confidencial назвало обращение Путина необычным утренним посланием. 

Британская газета Daily Mail указала на то, что подобные ночные выступления являются редкостью для президента России. 

Guardian отметила, что президент России покинул брифинг, которого журналисты ждали в течение почти семи часов. 

В свою очередь, польская Onet заметила, что президент не отвечал на вопросы журналистов из-за позднего времени."
1,2192593,2025-05-11,
2,2192574,2025-05-11,"WSJ сообщила о признании Трампом сложности в решении конфликта на Украине

Американский лидер Дональд Трамп в ходе выступления в своем клубе во Флориде признал сложность разрешения конфликтов на Украине и в Газе. Об этом 10 мая сообщила газета The Wall Street Journal (WSJ) со ссылкой на источники. 
 
По информации издания, Трамп заявил о сложностях в урегулировании конфликтов. Украинский вопрос американский лидер назвал «растущим разочарованием». Кроме того, президент США отметил, что трудности возникают в переговорах с РФ. 
 
Трамп также уточнил, что конфликт в Газе является «особенно сложным, поскольку там воюют уже тысячу лет»."
3,2192555,2025-05-11,"‼🇫🇷🇩🇪🇬🇧 Кто ж ездит к Зеленскому без допинга: 
 
Вошедшие в купе Стармера, Мерца и Макрона журналисты заметили, как канцлер Германии быстро спрятал ложечку, а президент Франции — пакетик с белым порошком."
4,2192537,2025-05-11,"Зеленский ответил на предложение Путина о переговорах ультиматумом

Президент Украины Владимир Зеленский отреагировал на предложение российского лидера Владимира Путина о начале прямых переговоров, выдвинув ультиматум о прекращении огня. 
 
Украинский лидер подчеркнул, что инициатива президента РФ является положительным знаком, свидетельствующим о том, что российская сторона начала задумываться об окончании конфликта. Он отметил, что прекращение огня — это первый шаг на пути к миру. 
 
«Ожидаем, что Россия подтвердит прекращение огня — полное, длительное и надежное, — начиная с завтрашнего дня, 12 мая, и Украина готова встречаться», — написал Зеленский 11 мая в своем Telegram-канале."
5,2192527,2025-05-11,
6,2192508,2025-05-11,"Фицо ответил на критику Каллас из-за визита в Москву

Глава евродипломатии Кая Каллас вновь пытается указывать лидеру суверенного государства, как ему поступать, что неприемлемо и требует личного обсуждения. Об этом 11 мая заявил журналистам премьер-министр Словакии Роберт Фицо. 
 
Выступая на пресс-конференции, Фицо отметил, что Каллас является высокопоставленным чиновником, но, по его мнению, она не может указывать премьеру суверенного государства, что тому следует делать. Он добавил, что подобное происходит уже во второй раз, и пообещал решительно объяснить свою позицию при личной встрече с ней, сообщили «РИА Новости». 
 
Помимо этого премьер-министр написал на своей странице в социальной сети Facebook (принадлежит Meta, признанной экстремистской и запрещенной в России), что неоднократно замечал высказывания Каллас в свой адрес в связи с визитом в Москву и предстоящей встречей с президентом Российской Федерации Владимиром Путиным. 
 
«Я в Москве, чтобы отдать дань уважения более чем 60 тыс. солдат Красной армии, погибших при освобождении Словакии. Мне непонятно, какое отношение эти храбрые люди имеют к текущей международной ситуации», — написал он. 
 
Фицо также выразил несогласие с политикой нового железного занавеса, которую, по его словам, Каллас активно продвигает. Кроме того, он вновь задал вопрос о том, как возможно вести дипломатию и внешнюю политику, если политикам запрещено встречаться и вести диалог по спорным вопросам."
7,2192482,2025-05-11,
8,2192458,2025-05-11,"Макрон отреагировал на предложение Путина по Украине

Президент Франции Эммануэль Макрон попытался выразить недовольство предложением главы России Владимира Путина по переговорам с Украиной, назвав это недостаточным шагом. Его слова приводит France 24. 
 
""Безусловному прекращению огня не предшествуют переговоры"", — утверждает он.

При этом американский лидер Дональд Трамп уже заявил, что предложение Путина прочит великий день для Москвы и Киева.

Минувшей ночью российский лидер выступил перед представителями СМИ и предложил возобновить прямые переговоры без предварительных условий в Стамбуле 15 мая."
9,2192441,2025-05-11,
